シアワセ,幸せ,1287,1287,66,-6.0908
シカ,しか,257,257,268,-2.7666
シカシ,しかし,555,555,282,-4.4154
シカタ,仕方,1284,1284,468,-4.9021
シカモ,しかも,555,555,48,-6.1561
シゴト,仕事,1283,1283,290,-6.0428
シゼン,自然,1287,1287,287,-6.6289
シゼン,自然,1281,1281,287,-6.9964
シゼン,自然,1285,1285,287,-6.9964
シタ,した,610,435,17,-5.8687
シタタメ,認め,1285,1285,52,-6.5872
シッカリ,しっかり,1282,1282,48,-6.0803
シテ,して,610,307,17,-5.2170
シテイ,してい,610,930,17,-7.0011
シテイル,している,610,919,17,-6.8059
シニ,死に,751,751,161,-3.3388
シヌ,死ぬ,746,746,161,-3.3212
シネ,死ね,749,749,161,-6.3284
シバラク,しばらく,1282,1282,282,-6.6299
シマイ,しまい,1273,1273,282,-2.7821
シマウ,しまう,1253,1253,282,-2.7200
シマエ,しまえ,1265,1265,47,-2.9107
シマス,します,610,491,17,-6.9380
シマフ,しまふ,1277,1277,479,-5.3646
シメシ,示し,735,735,481,-5.8162
シメス,示す,731,731,481,-5.5643
シメセ,示せ,734,734,481,-5.5569
シモ,しも,333,333,437,-4.0351
ショウカイ,紹介,1283,1283,375,-6.8333
ショウガ,しょうが,1284,1284,247,-6.8279
ショウサ,称さ,586,586,481,-6.1577
ショウサイ,詳細,1287,1287,468,-6.7575
ショウシ,称し,735,735,390,-6.8383
ショウシロ,称しろ,588,588,481,-6.0758
ショウジキ,正直,1287,1287,17,-6.7846
ショウス,称す,584,584,481,-6.0842
ショウスル,称する,583,583,481,-6.0795
ショウズ,生ず,593,593,43,-5.9068
ショウズル,生ずる,592,592,43,-5.9083
シヨウ,使用,1283,1283,375,-6.2390
シリ,知り,788,788,427,-5.7865
シル,知る,772,772,438,-5.6605
シルシ,記し,735,735,390,-6.8464
シルス,記す,731,731,481,-6.9123
シルセ,記せ,734,734,481,-6.9050
シレ,知れ,784,784,438,-5.8142
シレ,しれ,625,625,268,-6.0461
シレル,しれる,619,619,501,-6.3924
シレロ,しれろ,623,623,501,-6.3675
シロ,しろ,608,608,437,-1.9482
