ソウ,そう,1301,1301,17,-3.9671
ソウ,そう,1282,1282,17,-4.9882
ソウ,そう,1309,1309,17,-5.3285
ソウイウ,そういう,1315,1315,17,-6.5705
ソウダ,そうだ,1301,453,17,-7.7968
ソウダ,そうだ,1282,453,17,-7.9812
ソウデス,そうです,1301,460,17,-7.9319
ソウナ,そうな,1301,454,17,-7.6307
ソウナ,そうな,1282,454,17,-7.9963
ソコ,そこ,1306,1306,290,-6.2918
ソコデ,そこで,555,555,282,-7.2488
ソシキ,組織,1283,1283,131,-8.0306
ソシテ,そして,555,555,282,-5.4495
ソソイ,注い,727,727,176,-7.4691
ソソガ,注が,725,725,176,-7.4421
ソソギ,注ぎ,728,728,176,-7.4438
ソソギャ,注ぎゃ,722,722,176,-7.3998
ソソグ,注ぐ,723,723,176,-7.4439
ソソゲ,注げ,721,721,176,-7.3998
ソソゲ,注げ,726,726,176,-7.3998
ソソゴ,注ご,724,724,176,-7.4316
ソダタ,育た,740,740,364,-7.4716
ソダチ,育ち,743,743,364,-7.4748
ソダチャ,育ちゃ,737,737,364,-7.4694
ソダッ,育っ,742,742,364,-7.3709
ソダツ,育つ,738,738,364,-7.4767
ソダテ,育て,736,736,364,-7.4593
ソダテ,育て,741,741,364,-7.4634
ソダト,育と,739,739,364,-7.4703
ソツギョウ,卒業,1283,1283,364,-8.2116
ソノ,その,1315,1315,468,-4.1456
ソノゴ,その後,1314,1314,282,-6.1839
ソノタ,その他,1306,1306,486,-7.1796
ソノママ,そのまま,1281,1281,282,-7.2352
ソモソモ,そもそも,555,555,468,-7.2095
ソリャ,そりゃ,1307,1307,420,-7.5651
ソリャア,そりゃあ,1307,1307,479,-6.9665
ソレ,それ,1306,1306,468,-4.7894
ソレガ,それが,1306,148,17,-7.9695
ソレゾレ,それぞれ,1314,1314,283,-6.7955
ソレデ,それで,555,555,17,-7.8040
ソレデモ,それでも,555,555,282,-7.1552
ソレハ,それは,1306,261,17,-7.5151
ソレラ,それら,1306,1306,468,-7.7472
ソレヲ,それを,1306,156,17,-7.8759
ソレン,ソ連,1294,1294,298,-7.6115
ソロソロ,そろそろ,1282,1282,17,-8.0406
ソンザイ,存在,1283,1283,182,-6.8056
ソンナ,そんな,1315,1315,161,-5.6701
ソンナニ,そんなに,1281,1281,17,-7.9415
