ワ,わ,291,291,36,-2.7159
、,、,10,10,151,-1.2321
コト,こと,1310,1310,282,-2.7105
ノ,の,1310,1310,408,-2.7785
ノ,の,368,368,408,-1.2510
ン,ん,1310,1310,437,-3.5209
ン,ん,515,515,437,-2.4134
デス,です,460,460,17,-1.8569
・,・,5,5,203,-2.8161
ダ,だ,453,453,471,-1.9326
モノ,もの,1310,1310,468,-3.9983
。,。,8,8,61,-1.3153
」,」,7,7,121,-2.0603
ハ,は,261,261,468,-1.3769
ニ,に,151,151,282,-1.3790
タ,た,435,435,282,-1.4199
ヲ,を,156,156,356,-1.4239
？,？,1317,1317,17,-2.1473
ガ,が,148,148,468,-1.4644
テ,て,307,307,356,-1.5110
シ,私,1285,1285,17,-4.2352
ナカ,中,1285,1285,282,-4.2695
イイ,いい,37,37,17,-2.6785
シ,し,610,610,258,-1.5965
デ,で,149,149,468,-1.6182
…,…,5,5,184,-3.2885
モ,も,262,262,468,-1.7225
ト,と,164,164,282,-1.8091
ホウ,方,1310,1310,48,-4.5635
マス,ます,491,491,17,-1.8584
